Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
MB 7082,70476,PICL02,WORKING,20001171559,2024-04-24,YES,US,YES,136
MB 7082,70393,PICL02,WORKING,20001171618,2024-04-26,YES,US,YES,135
MB 7082,70383,PICL02,WORKING,20001171627,2024-04-26,YES,US,YES,133
MB 7082,70449,PICL02,WORKING,20001171613,2024-04-26,YES,US,YES,133
MB 7082,70384,PICL02,WORKING,20001171624,2024-04-26,YES,US,YES,132
MB 7082,70479,PICL02,WORKING,20001171619,2024-04-26,YES,US,YES,131
MB 7082,70421,PICL02,WORKING,20001171625,2024-04-26,YES,US,YES,130
MB 7082,70452,PICL02,WORKING,20001171629,2024-04-26,YES,US,YES,130
MB 7082,64450,PICL02,WORKING,20001171621,2024-04-26,YES,US,YES,129
MB 7082,70414,PICL02,WORKING,20001171649,2024-04-28,YES,US,NO,129
MB 7082,70450,PICL02,WORKING,20001171622,2024-04-26,YES,US,YES,129
MB 7082,70433,PICL02,WORKING,20001171628,2024-04-26,YES,TR,NO,128
MB 7082,70462,PICL02,WORKING,20001171626,2024-04-26,YES,US,YES,127
MB 7082,70475,PICL02,WORKING,20001171623,2024-04-26,YES,US,YES,127
MB 7082,64426,PICL02,WORKING,20001171656,2024-04-28,YES,US,NO,126
MB 7082,70273,PICL02,WORKING,20001171647,2024-04-28,YES,US,NO,126
MB 7082,70332,PICL02,WORKING,20001171630,2024-04-26,YES,US,YES,125
MB 7082,70346,PICL02,WORKING,20001171525,2024-04-23,YES,US,NO,125
MB 7082,70250,PICL02,WORKING,20001171657,2024-04-28,YES,US,NO,124
MB 7082,70355,PICL02,WORKING,20001171524,2024-04-23,YES,US,NO,122
MB 7082,64436,PICL02,WORKING,20001171530,2024-04-23,YES,US,NO,120
MB 7082,70432,PICL02,WORKING,20001171645,2024-04-28,YES,US,NO,120
MB 7082,70444,PICL02,WORKING,20001171520,2024-04-23,YES,US,NO,120
MB 7082,70444,PICL02,WORKING,20001171640,2024-04-27,YES,US,NO,120
MB 7082,70437,PICL02,WORKING,20001171646,2024-04-28,YES,US,NO,118
