Boar Stud,Inventory,Target,Inventory to target,Average Inventory,Total Non-Genetic Removals,% Non-Genetic Removals,14 Day Rest,Batches,Incomplete Batches,Missing Scores,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Total Boars in Stud,Treated Boars,Treatment Rate,actual,target,Missed Index,WeekCommencing,yrwk,Collections,Treatments,Lutalyse Usage,scores,% Missing Scores,% 14 Day Rest,TScore,RScore,PScore,LScorea,LScoreb,LScore,Total
MB 7094,464,450,103.11111111111111,473.61538461538464,36,30.404417735910343,26,44,0,0,0,0,0,0,0,0,464,2.8461538461538463,0.613395225,104.7114961909507,104.86281847952188,0.1513222885711798,19723,202401,367,17,4.632152588555858,264,0,5.603448275862069,3,1,2,2,2,2,8
MBW Cimarron,310,399,77.69423558897243,317.6923076923077,3,3.7772397094430996,0,30,0,0,0,0,0,0,0,0,310,2.5384615384615383,0.8188585607940446,106.85217527080628,106.85217527080628,0.09009009,19723,202401,222,5,2.2522522522522523,180,0,0,3,3,2,2,2,2,10
MBW Cyclone,355,403,88.08933002481389,352.84615384615387,14,15.870939611946804,1,26,0,0,0,0,0,0,0,0,355,3.769230769230769,1.0617551462621884,107.2390603570433,107.40244430900765,0.2734310564390851,19723,202401,271,10,3.6900369003690034,156,0,0.28169014084507044,3,3,2,2,2,2,10
MBW Yuma,152,203,74.87684729,162.53846153846155,6,14.76573592049219,0,26,0,0,0,0,0,0,0,0,152,2.4615384615384617,1.6194331983805668,102.26560672250406,108.40666934741535,5.666092865169227,19723,202401,58,2,3.4482758620689653,156,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,244,200,122,235,10,17.02127659574468,0,18,1,1,0,0,0,0,0,1,244,0.3076923076923077,0.12610340479192939,105.41681847439864,105.41681847439864,0,19723,202401,207,0,0,108,0.9259259259259258,0,3,3,2,2,0,2,10
SPGNC,179,220,81.36363636363636,173.46153846153845,18,41.507760532150776,0,55,0,0,0,0,0,0,0,0,179,2.6923076923076925,1.504082509669102,114.0683086,114.12177155134314,0.053462966025151104,19723,202401,123,4,3.2520325203252036,330,0,0,3,3,2,2,2,2,10
SPGVA,253,292,86.64383561643835,261.15384615384613,9,13.78497790868925,2,65,0,0,0,0,0,0,0,0,253,2.3076923076923075,0.9121313469139556,113.68801162780042,113.9408264977637,0.1713711534650379,19723,202401,144,9,6.25,390,0,0.7905138339920948,3,3,2,1,1,2,10
MB 7081,225,200,112.5,219.53846153846155,9,16.398037841625786,1,29,0,0,0,0,0,0,0,0,225,1.6153846153846154,0.717948718,108.03537822383346,108.50605927716259,0.39206311626380685,19730,202402,73,2,2.739726027,174,0,0.4444444444444444,3,3,2,2,2,2,10
MB 7082,180,200,90,186.07692307692307,0,0,4,27,0,0,0,0,0,0,0,0,180,1.1538461538461537,0.641025641,106.24926567245008,106.25286157988998,0.00210058,19730,202402,83,3,3.614457831325301,162,0,2.2222222222222223,3,2,2,2,2,2,9
MB 7092,446,250,178.4,494.53846153846155,29,23.456214030175765,0,46,0,0,0,0,0,0,0,0,446,8.923076923076923,2.000689893066575,105.38339468795996,105.41453427373821,0.031139585778248602,19730,202402,416,12,2.8846153846153846,276,0,0,3,3,2,2,2,2,10
MB 7093,460,450,102.22222222222221,449.3076923076923,33,29.37853107344633,17,46,0,0,0,0,0,0,0,0,460,0.6923076923076923,0.15050167224080266,104.94777265778033,104.96092774516805,0.013155087,19730,202402,351,0,0,276,0,3.6956521739130435,3,2,2,2,0,0,7
MB 7094,464,450,103.11111111111111,473.61538461538464,34,28.71528341724866,9,45,0,0,0,0,0,0,0,0,464,2.8461538461538463,0.613395225,96.09715900125339,106.27114219327093,10.173983192017545,19730,202402,284,7,2.464788732394366,270,0,1.9396551724137931,3,3,2,2,2,2,10
MBW Cimarron,308,399,77.19298245614034,318.6923076923077,4,5.020516533912624,0,26,0,0,0,0,0,0,0,0,308,3,0.974025974,103.05068633450102,103.17641296681411,0.12112687747236645,19730,202402,158,12,7.594936709,156,0,0,3,3,2,1,1,1,9
MBW Cyclone,352,403,87.34491315136476,352.61538461538464,13,14.746945898778357,0,32,0,0,0,0,0,0,0,0,352,3.8461538461538463,1.0926573426573427,106.72713115054079,106.72713115054079,0,19730,202402,257,9,3.501945525291829,192,0,0,3,3,2,2,2,2,10
MBW Yuma,145,203,71.42857142857143,161.84615384615384,6,14.828897338403044,0,31,0,0,0,0,0,0,0,0,146,2.4615384615384617,1.6859852476290835,104.1387671907649,104.1387671907649,0,19730,202402,89,2,2.247191011235955,186,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,241,200,120.5,238.15384615384616,9,15.11627906976744,0,15,0,0,0,0,0,0,0,0,241,0.3076923076923077,0.12767315671879986,105.49216011668007,105.89082088967245,0.3986607729923861,19730,202402,179,0,0,90,0,0,3,3,2,2,0,2,10
