Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,97.25581395348837,97.25581395348837,0,2021-08-30
High Desert,SPG240,0,0,0,2021-08-30
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,97.25581395348837,97.25581395348837,0,2021-09-06
High Desert,SPG240,102.73836143259199,102.73836143259199,0,2021-09-06
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,96.23255813953489,96.23255813953489,0,2021-09-13
High Desert,SPG240,0,0,0,2021-09-13
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,95.93023255813954,95.93023255813954,0,2021-09-20
High Desert,SPG240,0,0,0,2021-09-20
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,95.5952380952381,95.5952380952381,0,2021-09-27
High Desert,SPG240,0,0,0,2021-09-27
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,92.63157894736842,97.73684210526316,5.10526315789474,2021-10-04
High Desert,SPG240,104.53909018374753,108.06788016919853,3.5287899854509988,2021-10-04
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,92.63157894736842,97.73684210526316,5.10526315789474,2021-10-04
High Desert,SPG240,104.53909018374753,108.06788016919853,3.5287899854509988,2021-10-04
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,97,97,0,2021-10-11
High Desert,SPG240,0,0,0,2021-10-11
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,94.19047619047619,94.19047619047619,0,2021-10-18
High Desert,SPG240,0,0,0,2021-10-18
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,93.225,93.225,0,2021-10-25
High Desert,SPG240,0,0,0,2021-10-25
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,93.225,93.225,0,2021-10-25
High Desert,SPG240,0,0,0,2021-10-25
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,92.8,92.8,0,2021-11-01
High Desert,SPG240,101.50083358887693,101.50083358887693,0,2021-11-01
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,91.63157894736842,91.63157894736842,0,2021-11-08
High Desert,SPG240,0,0,0,2021-11-08
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,96.47058823529412,96.47058823529412,0,2021-11-15
High Desert,SPG240,0,0,0,2021-11-15
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,96.47058823529412,96.47058823529412,0,2021-11-22
High Desert,SPG240,0,0,0,2021-11-22
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,96.3921568627451,96.3921568627451,0,2021-11-29
High Desert,SPG240,100.47714504315154,100.47714504315154,0,2021-11-29
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,97.41666666666667,97.41666666666667,0,2021-12-06
High Desert,SPG240,100.05994166158946,104.14484798342885,4.084906321839384,2021-12-06
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,97.86666666666666,97.86666666666666,0,2021-12-13
High Desert,SPG240,0,0,0,2021-12-13
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,95.29411764705883,95.29411764705883,0,2021-12-20
High Desert,SPG240,0,0,0,2021-12-20
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,96.53333333333333,96.53333333333333,0,2021-12-27
High Desert,SPG240,100.14420893115974,100.20243215827992,0.058223227120180354,2021-12-27
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,96.56818181818181,96.56818181818181,0,2022-01-03
High Desert,DNA990,NA,NA,NA,2022-01-03
High Desert,SPG240,109.03507615187519,109.10652715186346,0.0714509999882722,2022-01-03
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,96.95238095238095,96.95238095238095,0,2022-01-10
High Desert,DNA990,NA,NA,NA,2022-01-10
High Desert,SPG240,0,0,0,2022-01-10
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,94.8913043478261,94.8913043478261,0,2022-01-17
High Desert,DNA990,NA,NA,NA,2022-01-17
High Desert,SPG240,106.93061954648621,107.06636522914698,0.1357456826607688,2022-01-17
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,96.48717948717949,96.48717948717949,0,2022-01-24
High Desert,DNA990,NA,NA,NA,2022-01-24
High Desert,SPG240,100.67480969652317,100.67480969652317,0,2022-01-24
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,95,95,0,2022-01-31
High Desert,DNA990,NA,NA,NA,2022-01-31
High Desert,SPG240,103.66149467989301,104.86086584215576,1.19937116226275,2022-01-31
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,95,95,0,2022-01-31
High Desert,DNA990,NA,NA,NA,2022-01-31
High Desert,SPG240,103.66149467989301,104.86086584215576,1.19937116226275,2022-01-31
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,95,95,0,2022-01-31
High Desert,DNA990,NA,NA,NA,2022-01-31
High Desert,SPG240,103.66149467989301,104.86086584215576,1.19937116226275,2022-01-31
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,93.51162790697674,93.51162790697674,0,2022-02-07
High Desert,DNA990,NA,NA,NA,2022-02-07
High Desert,SPG240,107.101641242194,107.101641242194,0,2022-02-07
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,93.51162790697674,93.51162790697674,0,2022-02-07
High Desert,DNA990,NA,NA,NA,2022-02-07
High Desert,SPG240,107.101641242194,107.101641242194,0,2022-02-07
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,93.3953488372093,93.3953488372093,0,2022-02-14
High Desert,DNA990,NA,NA,NA,2022-02-14
High Desert,SPG240,105.09379161505767,105.75061872107217,0.6568271060145037,2022-02-14
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,93.3953488372093,93.3953488372093,0,2022-02-14
High Desert,DNA990,NA,NA,NA,2022-02-14
High Desert,SPG240,106.99363692259209,106.99363692259209,0,2022-02-14
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,94.51282051282051,94.51282051282051,0,2022-02-21
High Desert,DNA990,NA,NA,NA,2022-02-21
High Desert,SPG240,99.852285474607,99.852285474607,0,2022-02-21
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,92.95348837209302,92.95348837209302,0,2022-02-28
High Desert,DNA990,NA,NA,NA,2022-02-28
High Desert,SPG240,103.04020910587603,106.33143393244772,3.2912248265716926,2022-02-28
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,91.06451612903226,91.06451612903226,0,2022-02-28
High Desert,DNA990,NA,NA,NA,2022-02-28
High Desert,SPG240,104.49264946769884,107.44430286049975,2.9516533928009068,2022-02-28
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,91.79166666666667,91.79166666666667,0,2022-02-28
High Desert,SPG240,103.85324131471053,105.53483125542937,1.6815899407188368,2022-02-28
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,92.95121951219512,92.95121951219512,0,2022-02-28
High Desert,DNA990,NA,NA,NA,2022-02-28
High Desert,SPG240,100.6701793030474,102.32858877480112,1.6584094717537141,2022-02-28
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,93.26315789473684,93.26315789473684,0,2022-02-28
High Desert,DNA990,NA,NA,NA,2022-02-28
High Desert,SPG240,100.209119626883,101.81868743514747,1.6095678082644724,2022-02-28
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,93.5,93.5,0,2022-02-28
High Desert,DNA990,NA,NA,NA,2022-02-28
High Desert,SPG240,100.21946514115801,100.55214465078704,0.33267950962903114,2022-02-28
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,94.02564102564102,94.02564102564102,0,2022-02-28
High Desert,DNA990,NA,NA,NA,2022-02-28
High Desert,SPG240,99.79809510447986,99.79809510447986,0,2022-02-28
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,91.55813953488372,91.55813953488372,0,2022-03-07
High Desert,DNA990,NA,NA,NA,2022-03-07
High Desert,SPG240,102.76964672522107,106.08221605589328,3.3125693306722184,2022-03-07
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,90.17857142857143,90.17857142857143,0,2022-03-07
High Desert,DNA990,NA,NA,NA,2022-03-07
High Desert,SPG240,106.30190898247795,106.53507899037803,0.23317000790007114,2022-03-07
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,89.4375,89.4375,0,2022-03-14
High Desert,DNA990,NA,NA,NA,2022-03-14
High Desert,SPG240,102.0378935291417,103.7127486848883,1.6748551557465987,2022-03-14
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,91.20930232558139,91.20930232558139,0,2022-03-14
High Desert,DNA990,NA,NA,NA,2022-03-14
High Desert,SPG240,101.49496228364211,103.38984799746837,1.8948857138262554,2022-03-14
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,90.9047619047619,90.9047619047619,0,2022-03-21
High Desert,DNA990,NA,NA,NA,2022-03-21
High Desert,SPG240,98.95346849943368,98.95346849943368,0,2022-03-21
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,90.63414634146342,90.63414634146342,0,2022-03-28
High Desert,DNA990,NA,NA,NA,2022-03-28
High Desert,SPG240,99.48934853636706,99.48934853636706,0,2022-03-28
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,89.78048780487805,89.78048780487805,0,2022-04-04
High Desert,DNA990,NA,NA,NA,2022-04-04
High Desert,SPG240,98.3065957736286,98.3065957736286,0,2022-04-04
