Boar Stud,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,rank,rankp
MBW Cimarron,2059623,SPG240,WORKING,2022-12-26,NA,NA,89.5620330370864,204,0.07741935483870968
MBW Cimarron,2059625,SPG240,WORKING,2022-12-26,NA,NA,89.60560234843709,205,0.0777988614800759
MBW Cimarron,2059667,SPG240,NONWORKING,2022-12-26,NA,NA,85.00420306872508,71,0.026944971537001896
MBW Cimarron,2059705,SPG240,WORKING,2022-12-26,NA,NA,91.04377834156773,249,0.09449715370018975
MBW Cimarron,2059920,SPG240,WORKING,2022-12-26,NA,NA,89.77509957452166,212,0.08045540796963947
MBW Cimarron,2069144,SPG240,NONWORKING,2022-12-26,NA,NA,87.92362286952806,145,0.05502846299810247
MBW Cimarron,2073652,SPG240,NONWORKING,2023-03-09,NA,NA,87.10690848801553,120,0.04554079696394687
MBW Cimarron,2073769,SPG240,NONWORKING,2023-03-09,NA,NA,88.71011485462702,175,0.06641366223908918
MBW Cimarron,2073770,SPG240,NONWORKING,2023-03-09,NA,NA,81.81420761992416,32,0.012144212523719165
MBW Cimarron,2073804,SPG240,WORKING,2023-03-09,NA,NA,89.24760482558834,192,0.07286527514231499
MBW Cimarron,2074197,SPG240,NONWORKING,2023-03-09,NA,NA,83.44840019907551,53,0.020113851992409868
MBW Cimarron,2074255,SPG240,NONWORKING,2023-03-09,NA,NA,87.1903596830987,123,0.04667931688804554
MBW Cimarron,2074282,SPG240,NONWORKING,2023-03-09,NA,NA,87.74265519034412,138,0.052371916508538896
MBW Cimarron,2074463,SPG240,NONWORKING,2023-03-09,NA,NA,86.36361424320887,103,0.03908918406072106
MBW Cyclone,10177,DNA400,NONWORKING,2023-04-11,NA,NA,83,5,0.07352941176470588
MBW Yuma,2054080,SPG240,WORKING,2022-08-19,NA,NA,90.64783272142115,242,0.09184060721062619
Skyline Boar Stud,1003H,SPG240,NONWORKING,2021-01-03,NA,NA,83.15770662640558,49,0.018595825426944972
Skyline Boar Stud,1028H,SPG240,NONWORKING,2021-01-03,NA,NA,71.12950453482166,2,7.590132827324478e-4
Skyline Boar Stud,1045H,SPG240,WORKING,2021-01-03,NA,NA,88.38014867690363,161,0.06110056925996205
Skyline Boar Stud,2000101,SPG240,WORKING,2021-05-09,NA,NA,80.42581513340093,21,0.007969639468690701
Skyline Boar Stud,2000186,SPG240,WORKING,2021-05-09,NA,NA,90.4823268609892,235,0.08918406072106262
Skyline Boar Stud,2000195,SPG240,WORKING,2021-05-09,NA,NA,86.8234544612264,111,0.04212523719165085
Skyline Boar Stud,2000223,SPG240,WORKING,2021-05-09,NA,NA,88.15575687250825,153,0.05806451612903226
Skyline Boar Stud,2000261,SPG240,WORKING,2021-05-09,NA,NA,84.74738773181329,68,0.025806451612903226
Skyline Boar Stud,2000265,SPG240,WORKING,2021-05-09,NA,NA,90.5830821762348,240,0.09108159392789374
Skyline Boar Stud,2014313,SPG240,WORKING,2021-09-12,NA,NA,82.59840838602614,40,0.015180265654648957
Skyline Boar Stud,2014456,SPG240,WORKING,2021-09-12,NA,NA,72.24275336518059,3,0.0011385199240986717
Skyline Boar Stud,2021073,SPG240,WORKING,2021-12-12,NA,NA,85.32086600352565,74,0.02808349146110057
Skyline Boar Stud,2021111,SPG240,WORKING,2021-12-12,NA,NA,81.32866535968978,25,0.009487666034155597
Skyline Boar Stud,2021243,SPG240,WORKING,2021-12-12,NA,NA,77.13950047658653,7,0.0026565464895635673
Skyline Boar Stud,2021310,SPG240,WORKING,2021-12-12,NA,NA,87.92936287636147,146,0.05540796963946869
Skyline Boar Stud,2031720,SPG240,WORKING,2022-04-24,NA,NA,79.9006240292876,17,0.0064516129032258064
Skyline Boar Stud,2031804,SPG240,WORKING,2022-04-24,NA,NA,81.49323530788674,30,0.011385199240986717
