MB 7082,39,19,2020-11-22
MBW Cyclone,3,0,2020-11-22
MBW Yuma,1,0,2020-11-22
Norson,2,0,2020-11-22
Princeton,1,0,2020-11-22
SPGNC,24,23,2020-11-22
SPGTX,1,1,2020-11-22
Ingold,23,6,2020-11-29
MB 7093,37,31,2020-11-29
Norson,1,0,2020-11-29
Princeton,2,2,2020-11-29
SPGTX,6,6,2020-11-29
Ingold,23,6,2020-11-29
MB 7093,37,31,2020-11-29
Norson,1,0,2020-11-29
Princeton,2,2,2020-11-29
SPGTX,6,6,2020-11-29
Ingold,23,6,2020-11-29
MB 7093,37,31,2020-11-29
Norson,1,0,2020-11-29
Princeton,2,2,2020-11-29
SPGTX,6,6,2020-11-29
Ingold,23,6,2020-11-29
MB 7093,37,31,2020-11-29
Norson,1,0,2020-11-29
Princeton,2,2,2020-11-29
SPGTX,7,7,2020-11-29
High Desert,1,0,2020-12-06
MB 7081,20,13,2020-12-06
MBW Cyclone,2,1,2020-12-06
Norson,1,0,2020-12-06
Princeton,2,2,2020-12-06
SPGTX,5,5,2020-12-06
High Desert,1,0,2020-12-06
MB 7081,20,13,2020-12-06
MBW Cyclone,2,1,2020-12-06
Norson,1,0,2020-12-06
Princeton,2,2,2020-12-06
SPGTX,5,5,2020-12-06
MBW Cyclone,2,0,2020-12-13
MBW Yuma,1,0,2020-12-13
Norson,1,0,2020-12-13
Prestage MS,20,8,2020-12-13
Princeton,3,3,2020-12-13
SPGTX,1,0,2020-12-13
SPGVA,30,19,2020-12-13
MBW Cimarron,1,0,2020-12-20
MBW Cyclone,1,0,2020-12-20
Norson,1,0,2020-12-20
Princeton,2,2,2020-12-20
MB 7082,26,16,2020-12-27
MB 7094,42,29,2020-12-27
MBW Yuma,7,0,2020-12-27
Norson,1,0,2020-12-27
Princeton,3,3,2020-12-27
SPGNC,27,23,2020-12-27
High Desert,22,12,2021-01-03
MB 7092,27,14,2021-01-03
MBW Cimarron,35,16,2021-01-03
MBW Cyclone,1,0,2021-01-03
MBW Yuma,2,2,2021-01-03
Norson,1,0,2021-01-03
MB 7081,35,23,2021-01-10
MBW Yuma,2,2,2021-01-10
Norson,1,0,2021-01-10
Princeton,3,3,2021-01-10
GCM23-4,48,17,2021-01-17
High Desert,1,1,2021-01-17
MB 7093,1,0,2021-01-17
MBW Cimarron,1,0,2021-01-17
MBW Cyclone,5,0,2021-01-17
MBW Yuma,4,4,2021-01-17
Norson,25,0,2021-01-17
Princeton,38,26,2021-01-17
SPGVA,26,25,2021-01-17
GCM23-4,16,5,2021-01-24
High Desert,1,0,2021-01-24
Ingold,27,4,2021-01-24
MB 7093,23,9,2021-01-24
MBW Cimarron,3,0,2021-01-24
MBW Yuma,6,0,2021-01-24
Norson,1,0,2021-01-24
Princeton,36,31,2021-01-24
Skyline Boar Stud,50,40,2021-01-24
Clinton,33,8,2021-01-31
High Desert,2,0,2021-01-31
MB 7082,40,26,2021-01-31
MBW Cimarron,1,0,2021-01-31
MBW Cyclone,1,0,2021-01-31
MBW Yuma,3,0,2021-01-31
Norson,1,0,2021-01-31
SPGNC,26,21,2021-01-31
Clinton,33,8,2021-01-31
High Desert,2,0,2021-01-31
MB 7082,40,26,2021-01-31
MBW Cimarron,1,0,2021-01-31
MBW Cyclone,1,0,2021-01-31
MBW Yuma,3,0,2021-01-31
Norson,1,0,2021-01-31
SPGNC,26,21,2021-01-31
Clinton,33,8,2021-01-31
High Desert,2,0,2021-01-31
MB 7082,40,26,2021-01-31
MBW Cimarron,1,0,2021-01-31
MBW Cyclone,1,0,2021-01-31
MBW Yuma,3,0,2021-01-31
Norson,1,0,2021-01-31
SPGNC,26,21,2021-01-31
Clinton,33,8,2021-01-31
High Desert,2,0,2021-01-31
MB 7082,40,26,2021-01-31
MBW Cimarron,1,0,2021-01-31
MBW Cyclone,1,0,2021-01-31
MBW Yuma,3,0,2021-01-31
Norson,1,0,2021-01-31
SPGNC,26,21,2021-01-31
MBW Cyclone,1,0,2021-02-07
Norson,1,0,2021-02-07
Prestage MS,20,5,2021-02-07
Princeton,2,2,2021-02-07
MB 7081,29,11,2021-02-14
MB 7094,25,13,2021-02-14
MBW Cyclone,1,1,2021-02-14
MBW Yuma,8,4,2021-02-14
Norson,1,0,2021-02-14
Princeton,1,0,2021-02-14
MB 7081,29,11,2021-02-14
MB 7094,25,13,2021-02-14
MBW Cyclone,1,1,2021-02-14
MBW Yuma,8,4,2021-02-14
Norson,1,0,2021-02-14
Princeton,1,0,2021-02-14
MBW Cimarron,33,24,2021-02-21
MBW Cyclone,2,0,2021-02-21
MBW Yuma,1,0,2021-02-21
Norson,1,0,2021-02-21
Princeton,3,3,2021-02-21
SPGTX,59,59,2021-02-21
SPGVA,47,32,2021-02-21
Norson,1,0,2021-02-28
MB 7082,51,31,2021-03-07
MBW Cyclone,1,0,2021-03-07
Norson,1,0,2021-03-07
Princeton,3,2,2021-03-07
SPGNC,20,14,2021-03-07
