Boar Stud,Inventory,Target,Inventory to target,boars,dist,actual,WeekCommencing,target,Missed Index,yrwk,Average Days Rest,Standard Deviation,Total Boars Culled,% Boars Culled in Bottom 25%,Total Boars,Boars Trained Within 14 Days,Percent Trained,% Boars Distributed,Average Inventory,rate,IScore,TScore,DScore,BScore,Total,wk,qt,yr,Month
Skyline Boar Stud,391,365,107.1232877,334,202,123.5469204,2/23/1949,124.0802788,0.53335838,201909,7.612612613,2.067508484,0,0,96,15,15.625,60.47904192,0,0,3,0,3,0,6,9,1,2019,March
SPGVA,275,292,94.17808219,109,64,125.9295163,2/23/1949,126.8490943,0.919578059,201909,8.201877934,4.502787003,0,0,148,51,34.45945946,58.71559633,0,0,3,0,2,0,5,9,1,2019,March
SPGNC,221,220,100.4545455,77,46,126.438628,2/23/1949,126.7527621,0.314134145,201909,8.412903226,2.741662916,0,0,123,109,88.61788618,59.74025974,0,0,3,0,2,2,7,9,1,2019,March
High Desert,162,150,108,118,69,124.9323401,3/2/1949,124.94037,0.008029899,201910,7.942028986,2.153822323,0,0,45,42,93.33333333,58.47457627,0,0,3,3,3,3,12,10,1,2019,March
MB 7081,216,220,98.18181818,124,101,124.1538269,3/2/1949,124.2626102,0.108783301,201910,8.430939227,3.254387415,0,0,100,87,87,81.4516129,0,0,3,1,2,2,8,10,1,2019,March
MB 7082,220,220,100,120,98,124.2765785,3/2/1949,124.3117699,0.03519138,201910,7.144385027,1.9079652,0,0,102,89,87.25490196,81.66666667,0,0,3,3,3,2,11,10,1,2019,March
MB 7092,589,600,98.16666667,589,549,123.6515955,3/2/1949,123.8305565,0.178961009,201910,6.481765835,1.59812196,0,0,140,138,98.57142857,93.20882852,0,0,3,0,3,3,9,10,1,2019,March
MB 7093,455,500,91,455,454,123.5318412,3/2/1949,123.5345473,0.002706067,201910,5.087053571,0.989435143,0,0,90,88,97.77777778,99.78021978,0,0,3,3,2,3,11,10,1,2019,March
MBW Cimarron,221,200,110.5,178,115,124.513643,3/2/1949,124.646858,0.13321501,201910,7.492537313,1.237414252,0,0,80,70,87.5,64.60674157,0,0,3,1,3,2,9,10,1,2019,March
MBW Cyclone,192,200,96,176,167,124.2012017,3/2/1949,124.2525542,0.051352563,201910,7.275132275,1.363843758,0,0,99,76,76.76767677,94.88636364,0,0,3,2,3,1,9,10,1,2019,March
MBW Illinois,40,40,100,26,21,234.1621507,3/2/1949,235.4370065,1.274855779,201910,6.666666667,1.340560125,0,0,30,19,63.33333333,80.76923077,0,0,3,0,3,0,6,10,1,2019,March
MBW Yuma,192,210,91.42857143,163,121,124.300374,3/2/1949,124.3373044,0.03693046,201910,6.796791444,0.711948994,0,0,39,37,94.87179487,74.23312883,0,0,3,3,3,3,12,10,1,2019,March
Princeton,446,428,104.2056075,411,304,124.0164983,3/2/1949,124.7037041,0.687205781,201910,8.330275229,2.947563346,0,0,167,61,36.52694611,73.96593674,0,0,3,0,2,0,5,10,1,2019,March
Skyline Boar Stud,388,365,106.3013699,331,196,123.5906704,3/2/1949,124.1429446,0.552274151,201910,10.476,7.375841386,0,0,96,15,15.625,59.21450151,0,0,3,0,0,0,3,10,1,2019,March
SPGVA,274,292,93.83561644,109,82,126.0228153,3/2/1949,126.5910905,0.568275196,201910,7.571428571,4.266746794,0,0,115,25,21.73913043,75.2293578,0,0,3,0,3,0,6,10,1,2019,March
SPGNC,220,220,100,91,52,126.8003025,3/2/1949,127.0617254,0.261422915,201910,8.120481928,3.169542899,0,0,151,137,90.72847682,57.14285714,0,0,3,0,2,3,8,10,1,2019,March
High Desert,162,150,108,118,67,125.0117341,3/9/1949,125.0201438,0.008409703,201911,7.562962963,1.768747796,0,0,45,42,93.33333333,56.77966102,0,0,3,3,3,3,12,11,1,2019,March
MB 7081,196,220,89.09090909,124,100,124.1802474,3/9/1949,124.2888143,0.108566916,201911,7.89017341,2.924349754,0,0,100,87,87,80.64516129,0,0,3,1,3,2,8,11,1,2019,March
MB 7082,218,220,99.09090909,119,94,124.2994773,3/9/1949,124.3192886,0.019811261,201911,7.740932642,1.927118196,0,0,102,89,87.25490196,78.99159664,0,0,3,3,3,2,11,11,1,2019,March
