Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index,Target,SelDate,UnSelDate
MB 7092,8417C,SPG240,WORKING,20001337510,2021-03-11,YES,US,YES,104.14565646997079,NA,NA,NA
MB 7092,8422C,SPG240,NONWORKING,20001337362,2021-03-08,YES,TR,NO,100.02813718969595,NA,NA,NA
MB 7092,842H5,SPG240,WORKING,20001337675,2021-03-14,YES,US,NO,93.29417959650227,NA,NA,NA
MB 7092,843H5,SPG240,WORKING,20001337672,2021-03-14,YES,US,NO,96.46559530473472,NA,NA,NA
MB 7092,8441G,SPG240,NONWORKING,20001337501,2021-03-11,YES,TR,NO,89.97501105386054,NA,NA,NA
MB 7092,8459C,SPG240,WORKING,20001337338,2021-03-08,YES,US,YES,103.66335997126909,NA,NA,NA
SPGVA,8544J,SPG110,WORKING,20001175171,2021-03-09,YES,US,NO,127.7127264361307,NA,NA,NA
SPGNC,8623D,SPG120,WORKING,20001149072,2021-03-10,YES,US,NO,101.33976670934463,NA,NA,NA
SPGVA,8624B,SPG110,WORKING,20001175203,2021-03-09,YES,US,NO,121.85419709700317,NA,NA,NA
MB 7092,8627A,SPG240,NONWORKING,20001337548,2021-03-11,YES,TR,NO,99.0316452601916,NA,NA,NA
MB 7092,8664A,SPG240,NONWORKING,20001337373,2021-03-08,YES,TR,NO,93.77541647440415,NA,NA,NA
SPGVA,8681G,SPG110,WORKING,20001175197,2021-03-09,YES,US,NO,115.74357200754275,NA,NA,NA
SPGVA,8696J,SPG110,WORKING,20001175188,2021-03-09,YES,US,NO,119.78843449304169,NA,NA,NA
SPGVA,8699J,SPG110,WORKING,20001175174,2021-03-09,YES,US,NO,128.78489276073225,NA,NA,NA
SPGNC,8704D,SPG120,WORKING,20001149000,2021-03-08,YES,US,NO,98.36782929853109,NA,NA,NA
MB 7092,8712A,SPG240,WORKING,20001337512,2021-03-11,YES,US,YES,109.4762790185594,NA,NA,NA
SPGNC,8721D,SPG120,WORKING,20001149068,2021-03-10,YES,US,NO,110.49491864956372,NA,NA,NA
SPGNC,8745J,SPG110,WORKING,20001149134,2021-03-11,YES,TR,NO,124.95024129416962,Nucleus,2021-02-22,NA
MB 7092,8747F,SPG240,WORKING,20001337387,2021-03-09,YES,US,YES,119.86346413681994,NA,NA,NA
SPGVA,8747J,SPG110,WORKING,20001175183,2021-03-09,YES,US,NO,116.53441712859667,NA,NA,NA
MB 7092,8761A,SPG240,WORKING,20001337535,2021-03-11,YES,US,YES,106.18881193265429,NA,NA,NA
MB 7092,8765A,SPG240,WORKING,20001337665,2021-03-14,YES,US,YES,106.93869052905947,NA,NA,NA
MB 7092,8768A,SPG240,WORKING,20001337604,2021-03-12,YES,TR,NO,121.64256415109904,NA,NA,NA
SPGNC,8784G,SPG110,WORKING,20001149007,2021-03-08,YES,US,NO,110.57869227840216,NA,NA,NA
MB 7092,8789A,SPG240,WORKING,20001337655,2021-03-14,YES,US,YES,99.29950490976753,NA,NA,NA
MB 7092,8796A,SPG240,WORKING,20001337598,2021-03-12,YES,US,YES,100.00043117127858,NA,NA,NA
SPGVA,8799J,SPG110,WORKING,20001175186,2021-03-09,YES,US,NO,128.67195457090796,NA,NA,NA
MB 7092,8875A,SPG240,WORKING,20001337540,2021-03-11,YES,US,YES,93.02704394893253,NA,NA,NA
SPGVA,8880E,SPG120,WORKING,20001175226,2021-03-11,YES,US,YES,115.90784919235475,CTH,2021-01-25,NA
SPGVA,8905D,SPG120,WORKING,20001175143,2021-03-09,YES,US,YES,120.37366003591563,CTH,2021-02-22,NA
SPGNC,8950H,SPG120,WORKING,20001149067,2021-03-10,YES,US,NO,102.56615715412511,NA,NA,NA
SPGNC,896G1,SPG240,WORKING,20001149200,2021-03-14,YES,US,YES,101.87982519359036,NA,NA,NA
SPGNC,9028C,SPG120,WORKING,20001149049,2021-03-09,YES,US,NO,94.73259143977369,NA,NA,NA
MB 7092,9045J,SPG240,WORKING,20001337588,2021-03-12,YES,US,YES,106.55862252441639,NA,NA,NA
SPGVA,9075F,SPG110,WORKING,20001175181,2021-03-09,YES,US,NO,110.83487527316808,NA,NA,NA
SPGNC,9114F,SPG110,WORKING,20001149043,2021-03-09,YES,US,NO,105.70878852018214,NA,NA,NA
SPGNC,9117H,SPG120,WORKING,20001149002,2021-03-08,YES,US,NO,101.06790371199426,NA,NA,NA
MB 7092,913B6,SPG240,WORKING,20001337585,2021-03-12,YES,US,YES,103.2619710217632,NA,NA,NA
SPGVA,9187F,SPG240,WORKING,20001175155,2021-03-09,YES,US,YES,114.9064251216046,NA,NA,NA
SPGNC,9188C,SPG120,WORKING,20001149001,2021-03-08,YES,US,NO,103.02432820768284,NA,NA,NA
SPGNC,9188H,SPG110,WORKING,20001149060,2021-03-10,YES,US,NO,105.14342817360323,NA,NA,NA
SPGVA,9221J,SPG240,WORKING,20001175246,2021-03-11,YES,TR,NO,111.91012420011785,CTH,2021-02-22,NA
SPGVA,9221J,SPG240,WORKING,20001175138,2021-03-08,YES,US,NO,111.91012420011785,CTH,2021-02-22,NA
SPGVA,9265G,SPG120,WORKING,20001175312,2021-03-14,YES,US,NO,104.01896441577868,CTH,2020-12-28,NA
