Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
MB 7092,770E0,SPG240,WORKING,20001336773,2021-02-25,YES,US,YES,105.78012210973876
MB 7092,1295C,SPG240,WORKING,20001336760,2021-02-25,YES,US,YES,105.64050652513696
MB 7092,689J6,SPG240,WORKING,20001336784,2021-02-25,YES,US,YES,105.55585080947543
MB 7092,2237C,SPG240,WORKING,20001336885,2021-02-28,YES,US,YES,105.49592583921763
MB 7092,1094G,SPG240,WORKING,20001336843,2021-02-26,YES,TR,NO,105.29118461966888
MB 7092,2426G,SPG240,WORKING,20001336869,2021-02-26,YES,TR,NO,105.24252900816644
MB 7092,8459C,SPG240,WORKING,20001336594,2021-02-22,YES,US,YES,105.16765449653109
MB 7092,106H9,SPG240,WORKING,20001336690,2021-02-24,YES,US,YES,105.07116667959663
MB 7092,1323C,SPG240,WORKING,20001336863,2021-02-26,YES,US,YES,105.0386225438908
MB 7092,2157J,SPG240,WORKING,20001336606,2021-02-22,YES,US,YES,104.9875010358287
MB 7092,182C1,SPG240,WORKING,20001336899,2021-02-28,YES,US,YES,104.95858617617172
MB 7092,2343C,SPG240,WORKING,20001336786,2021-02-25,YES,US,YES,104.90080100713075
MB 7092,5217B,SPG240,WORKING,20001336883,2021-02-28,YES,US,YES,104.82449512925223
MB 7092,4432G,SPG240,WORKING,20001336891,2021-02-28,YES,TR,NO,104.67093109669491
MB 7092,3032F,SPG240,WORKING,20001336839,2021-02-26,YES,US,YES,104.63526946262539
MB 7092,2403H,SPG240,WORKING,20001336648,2021-02-23,YES,US,YES,104.6250191264419
MB 7092,417H9,SPG240,WORKING,20001336840,2021-02-26,YES,US,YES,104.5485906217238
MB 7092,740H5,SPG240,WORKING,20001336687,2021-02-24,YES,TR,NO,104.48046253727188
MB 7092,8417C,SPG240,WORKING,20001336836,2021-02-26,YES,US,YES,104.43392179845789
