Boar Stud,BoarID.x,Breed.x.x,Boar Status.x,Col_Date.x,Collected.x,Collection Status.x,Distributed.x,Index.x,Target.x,Included.x,Needed,Actual
SPGVA,58065,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,58066,PICL02,WORKING,2021-03-14,YES,US,YES,NA,NA,YES,NA,NA
SPGVA,8699J,SPG110,WORKING,2021-03-09,YES,US,NO,128.78489276073225,NA,YES,NA,NA
SPGVA,8799J,SPG110,WORKING,2021-03-09,YES,US,NO,128.67195457090796,NA,YES,NA,NA
SPGVA,8544J,SPG110,WORKING,2021-03-09,YES,US,NO,127.7127264361307,NA,YES,NA,NA
SPGNC,8745J,SPG110,WORKING,2021-03-11,YES,TR,NO,124.95024129416962,Nucleus,YES,0,0
SPGNC,2004401,SPG110,WORKING,2021-03-14,YES,TR,NO,123.89850094832336,Nucleus,YES,0,0
SPGNC,2299J,SPG110,WORKING,2021-03-08,YES,US,NO,122.24081449340383,NA,YES,0,NA
SPGVA,8624B,SPG110,WORKING,2021-03-09,YES,US,NO,121.85419709700317,NA,YES,NA,NA
SPGNC,8062H,SPG110,WORKING,2021-03-09,YES,US,NO,121.23163997473071,NA,YES,0,NA
SPGVA,1854E,SPG110,WORKING,2021-03-09,YES,US,NO,121.17678892964238,NA,YES,NA,NA
SPGNC,9944H,SPG110,WORKING,2021-03-09,YES,US,NO,121.12770564174825,NA,YES,0,NA
SPGVA,8696J,SPG110,WORKING,2021-03-09,YES,US,NO,119.78843449304169,NA,YES,NA,NA
SPGVA,4844G,SPG110,WORKING,2021-03-09,YES,US,NO,118.92836862542164,NA,YES,NA,NA
SPGVA,1490J,SPG110,WORKING,2021-03-09,YES,US,NO,118.15025125580948,NA,YES,NA,NA
SPGNC,9332H,SPG110,WORKING,2021-03-08,YES,US,NO,117.79183605230321,NA,YES,0,NA
SPGNC,1311J,SPG110,WORKING,2021-03-08,YES,US,NO,117.43425570311584,NA,YES,0,NA
SPGVA,1224J,SPG110,WORKING,2021-03-09,YES,US,NO,116.94873426969899,NA,YES,NA,NA
SPGVA,8747J,SPG110,WORKING,2021-03-09,YES,US,NO,116.53441712859667,NA,YES,NA,NA
SPGNC,9398H,SPG110,WORKING,2021-03-10,YES,US,NO,116.31884815839344,NA,YES,0,NA
SPGVA,7562H,SPG110,WORKING,2021-03-09,YES,US,NO,116.09751335105989,NA,YES,NA,NA
SPGVA,8090G,SPG110,WORKING,2021-03-09,YES,US,NO,115.79233646346671,NA,YES,NA,NA
SPGVA,8681G,SPG110,WORKING,2021-03-09,YES,US,NO,115.74357200754275,NA,YES,NA,NA
SPGNC,7657F,SPG110,WORKING,2021-03-09,YES,US,NO,114.93476194728659,NA,YES,0,NA
SPGNC,7527G,SPG110,WORKING,2021-03-10,YES,US,NO,114.22736316094004,NA,YES,0,NA
