Boar Stud,BoarID.x,Breed.x.x,Boar Status.x,Col_Date.x,Collected.x,Collection Status.x,Distributed.x,Index.x,Included.x,Needed,Actual
MB 7081,64394,PICL03,WORKING,2024-04-26,YES,US,YES,137,YES,17,1
MB 7081,64456,PICL03,WORKING,NA,NO,NA,NO,137,YES,17,NA
MB 7082,70372,PICL03,WORKING,2024-04-26,YES,US,YES,137,YES,17,1
MB 7081,64453,PICL03,WORKING,2024-04-24,YES,US,YES,136,YES,17,1
MB 7081,64384,PICL03,WORKING,2024-04-26,YES,US,YES,135,YES,17,1
MB 7081,64406,PICL03,WORKING,2024-04-22,YES,US,YES,135,YES,17,1
MB 7082,70436,PICL03,WORKING,2024-04-26,YES,US,YES,135,YES,17,1
MB 7081,64407,PICL03,WORKING,2024-04-24,YES,US,YES,134,YES,17,1
MB 7081,64294,PICL03,WORKING,2024-04-22,YES,US,YES,133,YES,17,1
MB 7082,64435,PICL03,WORKING,2024-04-23,YES,US,NO,133,YES,17,NA
MB 7082,70338,PICL03,WORKING,2024-04-26,YES,US,YES,133,YES,17,1
MB 7082,70488,PICL03,WORKING,2024-04-24,YES,US,YES,133,YES,17,1
MB 7081,64458,PICL03,WORKING,2024-04-22,YES,US,YES,132,YES,17,1
MB 7081,64355,PICL03,WORKING,NA,NO,NA,NO,131,YES,17,NA
MB 7081,64393,PICL03,WORKING,2024-04-24,YES,US,YES,131,YES,17,1
MB 7082,70485,PICL03,WORKING,2024-04-23,YES,US,NO,131,YES,17,NA
MB 7081,64391,PICL03,WORKING,2024-04-26,YES,US,YES,130,YES,17,1
MB 7082,70489,PICL03,WORKING,2024-04-28,YES,US,NO,130,YES,17,NA
