Boar Stud,Inventory,Target,Inventory to target,actual,target,Missed Index,WeekCommencing,yrwk,Average Days Rest,Standard Deviation,Total Boars,Boars Trained Within 14 Days,Percent Trained,Semen Quality Cull Errors,Will Not Train Errors,Index Cull Errors,Removal Reason Errors,IScore,TScore,RScore,CScore,Total
SPGVA,260,292,89.04109589041096,109.89725178065706,109.89725178065706,0,19828,202416,7.120171674,1.2605335370339308,92,86,93.47826086956522,3,0,0,3,4,3,2,0,9
MB 7081,213,200,106.5,108.23972360593703,108.2430207178511,0.210862795107354,19835,202417,8.13872832369942,3.006456734158588,53,48,90.56603773584906,0,0,0,0,2,3,1,1,7
MB 7082,175,200,87.5,105.20858235031396,105.20858235031396,0.03448275862069431,19835,202417,6.62345679012346,0.9781172947150503,73,68,93.15068493150685,0,0,0,0,4,3,2,1,10
MB 7092,401,250,160.4,104.04919051934841,104.0586447903491,0.00945427100069196,19835,202417,7.19072164948454,1.2938800470165526,86,86,100,0,0,0,0,4,3,2,1,10
MB 7093,479,450,106.44444444444446,104.43966812904718,104.43966812904718,0,19835,202417,7.18559556786704,1.891916354265129,80,80,100,0,0,0,0,4,3,2,1,10
MB 7094,465,450,103.33333333333334,103.47980396193776,104.36619766581377,0.8863937038760099,19835,202417,8.29350649350649,3.379562412438495,69,67,97.10144927536231,0,0,0,0,0,3,1,1,5
MBW Cimarron,318,399,79.69924812030075,105.25840011943383,105.30725507086723,0.04706757516144464,19835,202417,6.69811320754717,1.2580785261837184,133,109,81.95488721804512,0,0,0,0,4,2,2,1,9
MBW Cyclone,275,403,68.23821339950372,106.63623102416926,106.63679303097096,4.625127746055514e-4,19835,202417,9.4375,4.502126393874417,68,67,98.52941176470588,0,0,0,0,4,3,0,1,8
MBW Yuma,166,203,81.77339901477832,105.60480805572634,105.80029185014378,0.19548379441744146,19835,202417,7.01652892561984,1.2779115193313149,76,72,94.73684210526315,1,0,0,1,3,3,2,0,8
Skyline Boar Stud,235,200,117.5,104.5070800510352,104.5070800510352,0,19835,202417,6.92735042735043,0.8383638194966541,24,9,37.5,0,0,0,0,4,0,2,1,7
SPGNC,184,220,83.63636363636363,114.61265232658872,114.61265232658872,0,19835,202417,6.82269503546099,1.7083144907157648,58,55,94.82758620689656,0,0,0,0,4,3,2,1,10
SPGVA,260,292,89.04109589041096,111.44442248294031,111.44442248294031,0.007751937984508242,19835,202417,7.496,2.752505977582339,92,86,93.47826086956522,3,0,0,3,4,3,2,0,9
