Boar Stud,Inventory,Target,Inventory to target,actual,target,Missed Index,WeekCommencing,yrwk,Average Days Rest,Standard Deviation,Total Boars,Boars Trained Within 14 Days,Percent Trained,Semen Quality Cull Errors,Will Not Train Errors,Index Cull Errors,Removal Reason Errors,IScore,TScore,RScore,CScore,Total
MBW Cyclone,387,403,96.02977667,105.3225852,105.3585595,0.031828063,19527,202325,7.283746556,1.452540264,127,124,97.63779528,0,0,0,0,4,3,2,1,10
MBW Yuma,169,203,83.25123153,105.540903,105.540903,0.027272727,19527,202325,6.94375,1.18293354,79,61,77.21518987,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,226,200,113,108.4679297,108.4679297,0.352941176,19527,202325,7.298136646,1.735096253,26,26,100,0,0,0,0,1,3,2,1,7
SPG9644,352,0,0,104.2663085,104.317004,0.050695516,19527,202325,8.068656716,2.131472809,50,49,98,1,0,0,1,4,3,1,0,8
SPGNC,199,220,90.45454545,112.609923,112.8995839,0.289660967,19527,202325,7.865497076,2.348850073,88,86,97.72727273,6,0,0,6,2,3,2,0,7
SPGVA,268,292,91.78082192,114.3316437,114.3316437,0,19527,202325,7.073275862,2.061557338,84,82,97.61904762,0,0,0,0,4,3,2,1,10
MB 7081,192,200,96,105.9951887,106.1001511,0.088214166,19534,202326,8.350877193,3.155711319,77,71,92.20779221,0,0,0,0,4,3,1,1,9
MB 7082,205,200,102.5,104.8971292,105.0190584,0.135985561,19534,202326,6.958083832,1.253204535,46,45,97.82608696,0,1,0,1,3,3,2,0,8
MB 7092,475,250,190,106.6194577,106.6194577,0,19534,202326,8.213776722,2.417574589,164,163,99.3902439,3,0,0,3,4,3,1,0,8
MB 7093,470,450,104.4444444,105.252693,105.4057323,0.153039255,19534,202326,9.252279635,2.907130002,140,139,99.28571429,0,0,0,0,3,3,0,1,7
MB 7094,529,450,117.5555556,106.74398,106.7893394,0.045359403,19534,202326,8.492211838,2.639975455,100,99,99,0,0,0,0,4,3,1,1,9
MBW Cimarron,393,399,98.4962406,107.8473645,107.9098476,0.062483081,19534,202326,8.911680912,5.479901487,25,22,88,0,0,4,4,4,2,1,0,7
MBW Cyclone,382,403,94.78908189,105.0214856,105.0536399,0.028162026,19534,202326,7.296703297,1.676244691,127,124,97.63779528,0,0,0,0,4,3,2,1,10
MBW Yuma,167,203,82.26600985,105.3224761,105.3224761,0.018018018,19534,202326,7.101910828,1.104679518,79,61,77.21518987,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,226,200,113,110.1867822,110.2001593,0.013377194,19534,202326,7.190265487,3.535734143,83,83,100,0,0,0,0,4,3,2,1,10
SPG9644,348,0,0,104.0297842,104.076036,0.046251783,19534,202326,6.438356164,1.723977969,50,49,98,1,0,0,1,4,3,2,0,9
SPGNC,199,220,90.45454545,110.9026728,111.0131069,0.110434125,19534,202326,7.943820225,2.600997421,88,86,97.72727273,6,0,0,6,3,3,2,0,8
SPGVA,267,292,91.43835616,114.7277489,114.7277489,0,19534,202326,6.693430657,1.185463696,59,58,98.30508475,1,0,1,2,4,3,2,0,9
MB 7081,192,200,96,105.9951887,106.1001511,0.088214166,19534,202326,8.350877193,3.155711319,77,71,92.20779221,0,0,0,0,4,3,1,1,9
MB 7082,205,200,102.5,104.8971292,105.0190584,0.135985561,19534,202326,6.958083832,1.253204535,46,45,97.82608696,0,1,0,1,3,3,2,0,8
MB 7092,475,250,190,106.6194577,106.6194577,0,19534,202326,8.213776722,2.417574589,164,163,99.3902439,3,0,0,3,4,3,1,0,8
