Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,Boar Stud.y,Collnum,Col_Date,Tech,Ext_Name,Tot_Ext_Vol,Used_Doses,Dose_Actual,Collection Status,Sperm_Conc,Tot_Sperm,Sem_Vol_Used,TRCODE,Motility,Ext_Batch_Num,EBV,Boar Stud,cutoff,train
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001095175,2021-02-01,S,NUTRIXCELL,0,40.5,40.55,US,0.524,93.27,178,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001094994,2021-01-25,W,NUTRIXCELL,0,35,35.13,US,0.454,80.81,178,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001094820,2021-01-18,O,NUTRIXCELL,0,38.5,38.6,US,0.588,88.78,151,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001094656,2021-01-11,O,NUTRIXCELL,0,30.6,30.66,US,0.43,70.52,164,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001094512,2021-01-04,W,NUTRIXCELL,0,24.7,24.84,US,0.371,57.13,154,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001094357,2020-12-29,W,PRIMXCELL,0,47.7,47.71,US,0.62,109.739,177,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001095528,2021-02-15,O,NUTRIXCELL,0,53,53.02,US,0.767,121.95,159,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001095715,2021-02-22,O,NUTRIXCELL,0,38.9,38.99,US,0.564,89.67,159,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001093077,2020-11-03,W,PRIMXCELL,0,23,23.02,US,0.314,48.35,154,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001093213,2020-11-10,W,PRIMXCELL,0,23.3,23.49,US,0.365,54.02,148,NA,80,NA,109,Clinton,2020-10-08,0
