Employee Home Business Unit,Employee Home Business Unit Desc.,Employee Number,Employee Job Type Description,Pay Per Date,Pay Type,Pay Type Description,Hours,Employee Pay Class Description
49170,Boar Stud  49170,2107647,Production Mgr Trainee 1 Certf,9/17/2023,12,Premium,11.47,Hourly
49170,Boar Stud  49170,789507,Boar Stud Mgr.,9/17/2023,1,Regular,40,Salaried
49170,Boar Stud  49170,789507,Boar Stud Mgr.,9/17/2023,99,PTO,40,Salaried
49170,Boar Stud  49170,910181,Herdsperson 4 (Hourly),9/17/2023,1,Regular,62.65,Hourly
49170,Boar Stud  49170,910181,Herdsperson 4 (Hourly),9/17/2023,12,Premium,1.32,Hourly
49770,Colorado Boar Stud,3289266,Production Mgr Trainee 1 HOD,9/17/2023,1,Regular,73.82,Hourly
49770,Colorado Boar Stud,3289266,Production Mgr Trainee 1 HOD,9/17/2023,12,Premium,8.18,Hourly
49770,Colorado Boar Stud,3289266,Production Mgr Trainee 1 HOD,9/17/2023,30,Holiday,8,Hourly
49770,Colorado Boar Stud,776837,AI Courier,9/17/2023,1,Regular,13.23,Hourly
49770,Colorado Boar Stud,776837,AI Courier,9/17/2023,4,Non-Worked,19.27,Hourly
49770,Colorado Boar Stud,3383761,Production Mgr Trainee 1 Certf,9/17/2023,1,Regular,49.07,Hourly
49770,Colorado Boar Stud,3383761,Production Mgr Trainee 1 Certf,9/17/2023,12,Premium,9.6,Hourly
49770,Colorado Boar Stud,3383761,Production Mgr Trainee 1 Certf,9/17/2023,30,Holiday,8,Hourly
49770,Colorado Boar Stud,3383761,Production Mgr Trainee 1 Certf,9/17/2023,99,PTO,24,Hourly
49770,Colorado Boar Stud,3431216,Production Mgr Trainee 1,9/17/2023,1,Regular,77.12,Hourly
49770,Colorado Boar Stud,3431217,Production Mgr Trainee 1,9/17/2023,1,Regular,78.13,Hourly
49770,Colorado Boar Stud,954835,Boar Stud Mgr.,9/17/2023,1,Regular,64,Salaried
49770,Colorado Boar Stud,954835,Boar Stud Mgr.,9/17/2023,30,Holiday,8,Salaried
49770,Colorado Boar Stud,954835,Boar Stud Mgr.,9/17/2023,99,PTO,8,Salaried
2874,AI Lab-Cyclone 2874,3308823,Herdsperson 4 (Hourly),10/1/2023,1,Regular,81.53,Hourly
2874,AI Lab-Cyclone 2874,3344620,Herdsperson 4 (Hourly),10/1/2023,1,Regular,76.03,Hourly
2874,AI Lab-Cyclone 2874,3344620,Herdsperson 4 (Hourly),10/1/2023,30,Holiday,8,Hourly
2874,AI Lab-Cyclone 2874,3344621,Herdsperson 4 (Hourly),10/1/2023,1,Regular,102.32,Hourly
2874,AI Lab-Cyclone 2874,3344621,Herdsperson 4 (Hourly),10/1/2023,12,Premium,14.32,Hourly
2874,AI Lab-Cyclone 2874,3383365,Boar Stud HOD 1 (Hourly),10/1/2023,1,Regular,41.92,Hourly
2874,AI Lab-Cyclone 2874,3383365,Boar Stud HOD 1 (Hourly),10/1/2023,99,PTO,40,Hourly
2874,AI Lab-Cyclone 2874,3399459,AI Courier,10/1/2023,1,Regular,24.95,Hourly
2874,AI Lab-Cyclone 2874,802455,Boar Stud Mgr.,10/1/2023,1,Regular,72,Salaried
2874,AI Lab-Cyclone 2874,802455,Boar Stud Mgr.,10/1/2023,30,Holiday,8,Salaried
2874,AI Lab-Cyclone 2874,3375574,Herdsperson 4 (Hourly),10/1/2023,1,Regular,67.32,Hourly
2874,AI Lab-Cyclone 2874,3375574,Herdsperson 4 (Hourly),10/1/2023,99,PTO,12,Hourly
2874,AI Lab-Cyclone 2874,3378304,Herdsperson 4 (Hourly),10/1/2023,1,Regular,91.27,Hourly
2874,AI Lab-Cyclone 2874,3378304,Herdsperson 4 (Hourly),10/1/2023,30,Holiday,8,Hourly
2874,AI Lab-Cyclone 2874,3422715,Herdsperson 2 (Hourly),10/1/2023,1,Regular,84.17,Hourly
2874,AI Lab-Cyclone 2874,3432284,Herdsperson 1 (Hourly),10/1/2023,1,Regular,78.43,Hourly
3470,AI Lab-Cimarron 3470,1168597,Herdsperson 4 (Hourly),10/1/2023,1,Regular,100.87,Hourly
3470,AI Lab-Cimarron 3470,1168597,Herdsperson 4 (Hourly),10/1/2023,12,Premium,14.3,Hourly
3470,AI Lab-Cimarron 3470,3404531,Herdsperson 4 (Hourly),10/1/2023,1,Regular,81.38,Hourly
3470,AI Lab-Cimarron 3470,3404531,Herdsperson 4 (Hourly),10/1/2023,12,Premium,12.85,Hourly
3470,AI Lab-Cimarron 3470,3405337,Production Mgr Trainee 1 Certf,10/1/2023,1,Regular,98.57,Hourly
3470,AI Lab-Cimarron 3470,3405337,Production Mgr Trainee 1 Certf,10/1/2023,12,Premium,12.6,Hourly
3470,AI Lab-Cimarron 3470,788267,Boar Stud Mgr.,10/1/2023,1,Regular,56,Salaried
3470,AI Lab-Cimarron 3470,788267,Boar Stud Mgr.,10/1/2023,99,PTO,24,Salaried
3470,AI Lab-Cimarron 3470,3362460,Herdsperson 4 (Hourly),10/1/2023,1,Regular,72,Hourly
3470,AI Lab-Cimarron 3470,3362460,Herdsperson 4 (Hourly),10/1/2023,4,Non-Worked,6,Hourly
3470,AI Lab-Cimarron 3470,3362460,Herdsperson 4 (Hourly),10/1/2023,12,Premium,12.7,Hourly
